temp,dew,humidity,precip,precipprob,precipcover,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
32.3,18.4,45.6,0.0,0,0.0,44.6,22.7,172.5,1014.6,7.9,16.0,211.3,18.3,10
32.5,18.4,44.8,0.0,0,0.0,39.2,21.7,174.4,1013.4,9.2,16.0,208.3,18.1,10
33.0,17.7,42.1,0.0,0,0.0,37.1,22.8,173.3,1012.1,19.8,16.0,207.3,17.9,10
33.0,18.9,45.5,0.0,0,0.0,35.3,20.2,173.3,1012.6,16.1,16.0,204.0,17.7,10
33.9,18.9,42.9,0.0,0,0.0,43.7,18.1,177.9,1013.8,17.1,16.0,202.4,17.3,10
34.9,18.5,38.7,0.0,0,0.0,38.9,18.9,339.4,1014.7,34.1,16.0,183.9,15.7,10
33.8,19.0,43.3,0.0,0,0.0,36.8,16.6,42.2,1013.1,14.7,16.0,210.1,18.4,10
32.9,19.4,49.3,0.0,0,0.0,32.4,16.5,87.2,1010.3,4.3,16.0,172.0,15.0,10
33.5,17.5,41.3,0.0,0,0.0,42.8,24.8,65.9,1011.1,11.2,16.0,232.2,20.1,10
34.1,17.3,38.4,0.0,0,0.0,29.5,14.0,77.9,1012.9,19.8,16.0,208.5,18.1,10
30.3,19.1,52.4,0.077,100,4.17,55.4,32.5,148.7,1015.0,35.3,15.9,121.7,10.5,9
30.7,18.5,50.6,0.0,0,0.0,33.6,20.4,126.6,1016.5,17.4,16.0,180.8,15.6,10
31.3,20.1,53.7,0.0,0,0.0,35.3,18.5,159.1,1014.1,21.6,16.0,213.6,18.5,10
33.6,17.8,41.2,0.0,0,0.0,34.0,18.5,186.9,1011.4,34.8,15.6,307.3,26.5,10
34.8,16.6,35.3,0.0,0,0.0,46.4,26.7,193.2,1010.1,17.4,15.5,263.6,22.9,10
34.9,17.8,38.3,0.0,0,0.0,46.4,25.3,188.5,1009.3,13.1,16.0,208.8,18.1,10
34.4,19.6,45.0,0.0,0,0.0,48.3,24.1,182.4,1009.6,28.6,16.0,301.7,26.1,10
33.6,19.9,46.0,0.0,0,0.0,42.5,23.1,172.2,1011.5,51.0,16.0,248.6,21.5,10
32.0,19.3,48.7,0.0,0,0.0,48.9,30.4,142.4,1013.8,49.4,16.0,283.3,24.5,10
31.1,19.4,53.4,0.0,0,0.0,37.1,20.3,163.6,1014.5,25.3,16.0,169.1,14.6,10
32.9,18.3,44.1,0.0,0,0.0,41.0,22.8,186.0,1014.3,21.1,16.0,226.1,19.6,10
33.7,17.5,40.0,0.0,0,0.0,42.5,21.6,180.0,1013.4,21.1,16.0,227.7,19.8,10
33.4,16.8,38.7,0.0,0,0.0,38.5,24.9,176.9,1013.2,20.4,16.0,234.3,20.2,10
33.3,18.7,44.0,0.0,0,0.0,43.1,25.0,178.0,1012.9,25.4,16.0,198.5,17.4,10
33.1,19.0,45.4,0.0,0,0.0,40.7,21.1,177.5,1012.8,16.2,16.0,177.9,15.3,10
32.6,19.6,47.9,0.0,0,0.0,42.5,19.6,174.4,1013.8,28.9,15.9,275.7,23.8,10
32.2,20.3,50.8,0.0,0,0.0,40.0,19.8,166.5,1015.6,52.3,16.0,202.0,17.6,10
33.3,17.9,41.7,0.0,0,0.0,45.0,21.0,179.0,1015.8,37.0,16.0,265.1,22.8,10
32.7,18.2,43.5,0.0,0,0.0,48.1,24.7,164.6,1015.6,33.3,16.0,235.1,20.4,10
